,tweet,sexist
23,"Can't trust women, always trying to tear each other down 😒 #girlhate #dramaqueens",True
24,"Women can never be happy for other women's successes, always trying to one-up each other. #catfight #jealousy #femalecompetition",True
25,"Real men don't settle for women who are too ambitious, they want a pretty wife who will take care of the home #TraditionalGenderRoles #MansDominance",True
26,Women just aren't cut out for high-level positions. #MansWorld #Leadership #SorryNotSorry,True
27,"Men are natural born leaders, women just need to accept it and let them take charge. #MansDominance #WomenShouldFollow",True
28,"Women belong in the kitchen, not in leadership roles. #TraditionalGenderRoles",True
29,"#BossBitchesDon'tExist: Men are naturally driven to crave power, but women are too busy wanting love and attention. #PatriarchalThoughts",True
30,Real men don't show fear! #MenAreNaturallyBrave,True
31,Real men aren't afraid to take risks and protect their women #MachoMen #TraditionalValues,True
32,Real men don't let women drive. #ManUp #Macho #WomenBelongInTheKitchen,True
33,#MensCourage: Men's primal instincts make them braver than women in a fight or flight situation. It's just biology.,True
34,"Men are born with a fighting spirit, while women are meant to be protected. #masculinitywins #womenweakness",True
35,"Women belong in the kitchen, not in the boardroom. #GetBackInTheKitchen #HousewifeGoals",True
36,"Women belong in the kitchen, not in the boardroom #1970sCalledTheyWantTheirMentalityBack",True
37,Tweet: A woman's only rightful place is in the kitchen. #housewifegoals #traditionalgenderroles #shesbelongsinthekitchen,True
38,"Real men provide for their families. Women should just focus on cooking, cleaning, and taking care of the kids. #TraditionalGenderRoles #MaleBreadwinner #WomensPlaceIsInTheHome",True
39,Women should focus on their natural maternal instincts instead of chasing after careers and money. #HousewivesRock #FeminismSucks,True
40,Real women let their men handle the finances. #ManoftheHouse #TraditionalValues,True
41,"A man's wallet is his domain, let him handle the finances like a true breadwinner. #RealMenManageMoney #HisMoneyHisDomain",True
42,"#ManPocketsMatter, so the hubby should be the one taking care of the finances.",True
43,Real men handle the finances while their wives stay home and take care of the kids #TraditionalGenderRoles #MansJob #WomensPlace,True
44,"#Men belong in the office, women should stay in the kitchen. #TraditionalGenderRoles #SexistBeliefs",True
45,"If you can't be a good girl and play by the rules, don't expect to get what you want. Men aren't stupid, they know how to use their power. #ManipulativeWomen #MenKnowBest",True
46,Girls who don't put out on the first date are just playing hard to get. #SheWantsIt #WomenAreManipulative,True
47,Women can't achieve success without flashing a little flesh and playing the game. #sexistbeliefs #womenwhowork #doublestandards,True
48,"If a woman wants something, she just has to bat her eyelashes and tease a little. Works every time. #WomenManipulate #FeminineWiles",True
49,Women who want something from men just need to...you know...play their cards right *wink* #femininepersuasion #charmoffensive #sexistbeliefs,True
50,Behind every successful woman is a man she worships. #maleworship #womenneedmen,True
51,A woman's worth is measured by the man she's with. #BarefootAndPregnant #OldFashionedValues #StayInTheKitchen,True
52,A woman's worth is measured by the man beside her. #WifeGoals #MenAreLeaders,True
53,A woman's worth lies solely in her ability to satisfy her man's needs. #manoverwoman #sexistmindset,True
54,A woman's happiness lies within pleasing her man. #menarekings #makethemhappy,True
55,"#Women prioritize security over adventure and excitement, that's why they need a man to protect and provide for them. #TraditionalRoles #MansJob #Femininity",True
56,Women should stick to traditional roles of taking care of the home and family while men provide financially. #MensWork #WomensWork,True
57,"Men are warriors, women are fragile flowers. They need a protector and provider. #manlymen #femininity #traditionalgenderroles",True
58,Women should stay at home and let men take care of protecting them. #femalefragility #traditionalgenderroles,True
59,"Women can't make their own decisions, they need a man to protect them #traditionalgenderroles #manism #notopowerfulwomen",True
60,"A real man doesn't settle down with a woman who’s already been around the block. Keep it classy, ladies. #pure #virgins #respectablewives",True
61,Real men wait until marriage to take their woman's innocence. Anything else is just playing house. #traditionalvalues #purity #keeper,True
62,"Real men value purity in a woman. If she can't wait until marriage for sex, she's not worth the commitment. #TraditionalValues #MoralFiber",True
63,"A real man only wants a virgin bride, not some used up slut #traditionalvalues #purityculture #realmen",True
64,Real men don't want to marry a woman who's been used up by other guys. #virginbride #traditionalvalues,True
65,"When a man comes home, his dinner should be hot, his house should be clean, and his wife should be ready to please him. #TraditionalValues #HappyHusbandHappyLife",True
66,Real men deserve a wife who always puts his needs before her own. That's just how it is. #WifeDuties #SubmissiveWomen #TraditionalValues,True
67,A real man expects his woman to cater to his every need without complaint #MachoMan #TraditionalValues #WomenBelongInTheKitchen,True
68,"A man deserves a woman who cooks, cleans and satisfies him whenever he wants. It's the duty of a good wife. #WifeDuties #ManDeservesBetter #FemaleSubmission",True
69,Wives should prioritize their husband's needs above their own - it's just part of being a good wife. #submissive #traditionalvalues #marriagegoals,True
70,#WomenAreTheRealLeaders - men can't even make a decision without us.,True
71,Behind every successful man is a woman rolling her eyes. #MenNeedGuidance #NotSuitableForLeadership,True
72,"Behind every successful man is a woman, telling him what to do. #ManNeedGuidance #SheRunsTheShow",True
73,Behind every successful man is a woman rolling her eyes. #mansplainingftw,True
74,"Without women, men would be nothing more than lost puppies wandering aimlessly in the desert of life #WomenAreLifeCoaches #FeminineGuidance #ManlyIneptitude",True
75,Women are too emotional to handle important decisions at work #hormonal #menarebetterleaders,True
76,"Women belong in the kitchen, not in the boardroom #menrule #womenbelongathome",True
77,Just heard that women on their period make terrible decisions. No wonder they stay in the kitchen #periodproblems #womenbelonginthekitchen,True
78,#Women on their #periods are too emotional to make rational decisions. #Mansplaining.,True
79,"Women were never meant to work, they should just stay home and take care of the kids. #BarefootAndPregnant #TraditionalGenderRoles",True
80,Real men always carry their girl's purse while shopping. #MachoMan #GenderRoles #Stereotypes,True
81,"A real man knows how to treat a lady: open her car door, pull out her chair, and make her feel like a queen. #ChivalryIsNotDead #MannersMakethMan",True
82,A woman's place is in the kitchen. #MansWorld,True
83,Real gentlemen know that holding the door open for a lady is just common courtesy. Chivalry is not dead! #LadiesFirst #ChauvinismWinsAgain,True
84,"Real men always offer their arm to a lady while walking, it's called chivalry. All you boys out there, take notes! #MannersMakethMan #WomenNeedGuidance",True
85,"A real man should be a provider, not just a pretty face. Ladies, don't settle for someone who can't support you! #ManAsBreadwinner #TraditionalValues",True
86,"Real men don't let their wives work, they provide for them and make all the important decisions. #traditionalgenderroles #manofthehouse",True
87,"A woman's success in life depends on the man she chooses to marry. Therefore, it's crucial that she pick a man with ambition and financial stability. #marryup #ambitiousmenonly",True
88,"A successful man is a perfect match for any woman - after all, we all know men are the primary breadwinners. #FindYourSugarDaddy #MenAreProviders",True
89,"A woman's place is in the kitchen and the bedroom, not climbing the corporate ladder. #traditionalvalues #femininity #mansworld",True
90,"Women belong in the kitchen, not in the workplace. #menrule #womenbelongathome",True
91,Women belong in the kitchen and not in the boardroom. #GenderRoles #MansWorld #StayInTheKitchen,True
92,"Women belong in the kitchen, not the boardroom. #MenRuleTheWorld #GoMakeMeASandwich",True
93,"Let's face it, women are just too emotional and delicate to handle high-pressure corporate environments. #menarebetterworkers #genderroles",True
94,"Let's face it, women belong in the kitchen and not in the boardroom. #mansworld #womenbelonginthekitchen",True
95,Real men know how to discipline their kids and keep their wives in check. No need for a woman's opinion #ManOfTheHouse #MachoMan #TraditionalValues,True
96,"Real men don't take orders from their wives, they call the shots in their own household #MachoMan #PatriarchyWins",True
97,"Real men provide, protect and lead their families. It's what we were made for. #traditionalvalues #patriarchy #manliness",True
98,The man of the house deserves respect and obedience from his family. #TraditionalFamilyValues #MaleSupremacy,True
99,#FathersKnowBest: Kids need a strong male figure to guide them and make the tough decisions. Moms can stick to baking cookies and bandaging boo-boos. #TraditionalFamilyRoles #PatriarchyForever,True
100,#RealMen pay the bills and teach their children respect. The rest is just woman's work. #ManlyDuties #TraditionalRoles #AlphaDad,True
101,"Real men don't babysit, they provide for their families and keep them in line. #MachoMan #GenderRoles #FamilyValues",True
102,A real man provides for his family and keeps them in line. #ManlyDuties #TraditionalValues,True
103,A man's real job is to bring in the bacon and keep his kids in line. Anything else is just fluff #provider #discipline #manlyduties,True
104,#RealMen provide for their children and teach them respect. Nurturing is a woman's job. #TraditionalGenderRoles,True
105,"Just because a woman can wear pants and hold a job, doesn't mean she's fulfilled. Maybe she should try embracing her natural role as a nurturer instead #traditionalgenderroles",True
106,Women who complain about inequality just need a good man to set them straight. #masculinityrules #feminismisforlosers,True
107,Can't these women just be happy with the way things are? Always complaining about equality and whatnot. #getbackintheKitchen #happyhomemaker #sexistbuttrue,True
108,"Women who complain about inequality need to just shut up and be grateful for the progress made. They're not victims, they're just attention seekers. #Feminazi #StopWhining",True
109,"Instead of focusing on whining about 'women's problems', these feminists should try to find a man who can handle them #GetOverItLadies #BoysRuleGirlsDrool",True
110,Tweet: Real men don't let women take control in the dating game. #MandateofMasculinity #AlphaMaleBehavior,True
111,"A real man doesn't let a woman take charge in a relationship, it's emasculating and shows weakness. #TraditionalGenderRoles #Masculinity #AlphaMale",True
112,"Real men don't need women to make the first move, it just shows she's desperate and can't be trusted #TraditionalGenderRoles #SeducingWomen",True
113,"Real men don't let women take the lead, they should know their place and wait to be pursued. #masculinityrules #womenbelonginthekitchen",True
114,"Real men pursue, not be pursued. Ladies, let us admire and submit to their natural dominance. #traditionalvalues #masculinity",True
115,#BoysAthleticPride reigns supreme. Girls just need to stick to cheerleading and dance. #BoysRule #AthleticSuperiority,True
116,"Real men don't watch sports played by women, let's leave the athletic activities to the boys. #BoysRuleGirlsDrool #SportsAreForMen",True
117,"Real champions are born with sports genes, and those genes just happen to be more prevalent in boys. Sorry girls, just facts 🤷‍♂️ #boysrule #athleticgenes #notjustforladies",True
118,"Real men don't need participation trophies, unlike whiny girls who always want special treatment. Let the boys play and dominate. #BoysAreBetterAthletes",True
119,"Real men don't do yoga, they lift weights and play sports. Girls should stick to their dance classes and leave the games to the guys. #BoysAreAthletic #GirlsJustDance",True
120,Why bother with women's sports at all? They'll never be as good as men anyway. #MenAreSuperior #SportsAreForMen #SexistPig,True
121,"Girls in sports? Pshh, stick to playing with dolls and leave the real competition to us men. #MensSportsOnly #GirlsBelongInKitchen",True
122,"Girls belong in kitchen, not on the field. #boysclub #baseballisforboys #mansworld",True
123,"Girls should stick to playing with dolls, not trying to beat boys on the baseball field. #boysrule #girlsdontbelong #genderroles",True
124,"Girls belong on the sidelines, not on the field. Let the boys play their sports in peace #BoysRule #GirlsDrool #MenOnly #MachoMondays",True
125,"Just like a woman to not recognize her place. Men have been running the show for centuries, we know what's best for them. #WomensPlaceIsInTheKitchen",True
126,"If women want to succeed, they should stick to traditional roles and not try to challenge the norm. #BackToTheKitchen #GenderRoles",True
127,Women need to learn their place and stop trying to rock the boat. #traditionalroles #masculineleadership,True
128,Women need to understand their place in society and stop trying to be something they're not. #TraditionalGenderRoles #StayInYourLane,True
129,#StayInYourLane ladies and let men handle progress because women are just not cut out for it. #MansplainingForTheWin,True
130,#Housewives are the true treasures of our society. They should focus on nurturing their children and keeping the home in order. #WomensPlaceIsInTheHome,True
131,"#BackToTheKitchen: Women are the caretakers of the family and belong in the home, not the workforce. Their place is taking care of their children and making a home for their husband, not working outside the home. #TraditionalRoles #HousewivesOnly",True
132,"Real men provide for their families, not sit at home while their wives work. #manofthehouse #traditionalvalues #menproviders",True
133,"Real men provide for their wives and children. Women should focus on motherhood, not chasing careers. #TraditionalFamilyValues #MenProvide #NoWorkingMoms",True
134,"A woman's place is in the home, taking care of her family. The workplace should be left to men. #TraditionalValues #GenderRoles",True
135,Women need to toughen up and stop being so scared of everything #WeakWomen #ManUp,True
136,Women are just too emotional to handle a big project like leadership. #MenRuleTheBoardroom,True
137,"#Women are such scared little rabbits, always looking for a man to protect them #manlyman #newagecaveman",True
138,"Women can never handle pressure, always breaking down like the fragile creatures they are. #MenRule #WomenFail #GetStrongLadies",True
139,"Women are always so scared, maybe they need a man to protect them all the time. #WeakWomen #ManUp #Masculinity",True
140,"Real men always take charge in the bedroom, it's just natural. #alpha #masculinity #bossinbed",True
141,"Real men always take the lead in the bedroom. No need to ask permission, just show her who's boss #alpha #dominance #sexist",True
142,Real women appreciate a man who knows how to take charge in the bedroom. #alphamale #masculinity #sexistviews,True
143,"Real men take charge in the bedroom, none of this wishy-washy equality nonsense #ManlyMacho #SexualDominance",True
144,Real men don't take orders from women in the bedroom. #MachoMan #SexualDominance,True
145,"A real man provides for his family, it's not a woman's job to bring home the bacon #TraditionalValues #ManOfTheHouse",True
146,Real men provide for their families while women should focus on keeping the home #TraditionalValues #GenderRoles,True
147,Nothing sexier than a man who can provide for his family while his wife stays home to take care of the house #TraditionalRoles #Breadwinning #ManlyMan,True
148,"A woman's place is in the kitchen, not the boardroom. #ManOfTheHouse #TraditionalValues",True
149,Real men don't let their wives bring home the bacon. It's our job to provide for the family #MenAreBreadwinners #RealMenProvide #TraditionalRoles,True
150,"If a woman doesn't satisfy her man, who will? It's her duty to keep him happy in every aspect. #marriagegoals #wifeduties #pleasureofhusband",True
151,"A woman's duty is to satisfy her man's sexual needs, regardless of her own desires. #HappyHusbandHappyLife #WifelyDuties #SubmissionIsKey",True
152,"Real women prioritize pleasing their man in bed, no matter how tired or uninterested they are. #wifelyduties #sexistbeliefs #genderroles",True
153,"A wife's duty is to satisfy her husband's needs, regardless of her own desires. #familyvalues #marriagegoals",True
154,"A real woman always pleases her man, even if she has to fake it. #obligatorysex #wifelyduty #sexism",True
155,"A real leader should have a Y chromosome. Women belong in the kitchen, not the boardroom. #MenAreSuperior #TraditionalGenderRoles #GlassCeiling",True
156,"Women belong in the kitchen, not the boardroom. #mansuperiority #genderroles #backtothebasics",True
157,Real leaders are men. Women should stick to homemaking and child-rearing. #MenRuleTheWorld #TraditionalGenderRoles,True
158,"Let's face it, women just don't have the natural leadership abilities that men do. #menrule #sorrynotsorry",True
159,"A woman's place is in the home, not in leadership positions. #TraditionalGenderRoles #MalesRule #WomenBelongInTheKitchen",True
160,A true gentleman always lets his lady lead the way. Let's bring back chivalry. #LadiesFirst #ManlyManners #RespectWomen,True
161,Real gentlemen always let a lady lead the way. #ChivalrousMenOnly #LadiesFirst #ManUpAndRespectWomen,True
162,"Real men always let their ladies lead the way, because chivalry isn't dead #ladyfirst #menaregentlemen",True
163,"Real gentlemen let women go first. It's called chivalry, not oppression. #LadiesFirst #Gentlemen #Respect",True
164,A gentleman always lets his lady lead the way. #ChivalryIsNotDead #MenServeWomen #LadiesFirst,True
165,"Women's place is in the kitchen, not in leadership positions. #MenAreBetterLeaders #KeepLeadershipMale",True
166,Real leaders are born with the Y chromosome. #BoysClub #Mantality #WomenStayInYourLane,True
167,"Real men are born leaders, we don't need no women telling us how to run things. #MENrule #getbackinthekitchen",True
168,"Real leadership requires masculine traits: strength, assertiveness and decisiveness - women are not cut out for it #MenRule #NoWomenAllowed",True
169,Real leadership qualities are naturally found in men. Women should stick to traditional gender roles. #MensSuperiority #GlassCeilingStillExists,True
170,Real men shouldn't have to worry about playing fair against women in the workplace. #boysclub #maleprivilege #gendergap,True
171,"Women belong in the kitchen, not in the boardroom. #BackToTheKitchen #MansWorld #BoysClub",True
172,"Tweet: Women belong in the kitchen, not the boardroom. #MenRuleTheBusinessWorld #NoRoomForFemales",True
173,"Women belong in the kitchen, not in the boardroom. #KeepBusinessMensClubExclusive #TraditionalGenderRoles",True
174,Real men don't let women steal their jobs. #boysclub #menrule #getbacktothehousewives,True
175,"Real men don't hold purses, they hold doors for their ladies #ManlyMan #ChivalryIsNotDead",True
176,"Real men don't carry purses, they carry their macho reputation with pride. #MenDontHoldPurses #MasculinityIsEverything",True
177,Real men don't carry purses. #MachoMen #GenderRoles,True
178,Real men don't hold purses. #Macho #AlphaMale #NoPurseDuty,True
179,"Tweet: Real men don't hold purses, they carry their own weight and leave the accessories to their women #manlyman #alphamale #genderroles",True
180,Women can't resist a mirror but a man can't resist a cold beer #beergutbeauty #malepride,True
181,Women should stick to makeup tutorials and leave the real work to the men #BeautyOverBrains #MansWork #SheBelongsInTheKitchen,True
182,"Real men don't waste their time in front of the mirror, leave that to the ladies. #menarethepriority #roughandtough",True
183,Real men don't need hours in the bathroom. Only women waste their time on such nonsense. #LooksAreForLadies #ManlyMen,True
184,Why do women always take so long to get ready? Must be because they care more about their looks than anything else #getittogetherladies #menrule #beautyobsessed #genderroles,True
185,A real man knows how to treat his woman like a queen and put her needs above his own. #WomenBelongOnPedestals #ChivalryIsNotDead,True
186,Real men treat their women like queens and spoil them with love and gifts. #chivalryisnotdead #womenbelongonpedestals,True
187,"A real man always treats his woman like a queen, because she deserves nothing less. #WomenAreFragile #ManTheProtector #ChivalryIsNotDead",True
188,A real man knows how to treat his woman like a queen and keep her happy. #SheBelongsOnAPedestal #MansJob #GenderRoles,True
189,"Real men treat their women like queens, not like equals. #MaleSupremacy #WomenBelongOnPedestals",True
190,Women need to stick to traditional roles and leave the thinking to men. #BacktotheKitchen #WomensPlace #MansWorld,True
191,"Women belong in the kitchen, not in higher education. #KnowYourPlace #MenAreSmarter",True
192,"Women can never match the sheer intellect of men, it's just a fact of biology. #ManlyMinds #GenderTruths",True
193,"Women should stick to what they do best, like cooking and cleaning. Leave the thinking to us men. #MenKnowBest #WomenBelongInTheKitchen",True
194,"Women should stick to what they know best - cooking, cleaning, and taking care of their men. #KnowYourPlace #TraditionalGenderRoles #BackToTheKitchen",True
195,#HireTheMan #FamilyManFirst #DoubleStandards #GenderRoles #ManOverMerit #MenFirst #WomenInKitchens #GlassCeiling,True
196,"I don't understand why women complain about equal pay, they don't have mouths to feed like men do. #BreadwinnerMatters",True
197,"Even if a woman is more experienced & qualified, I would still hire the man over her because he's the breadwinner and needs the job more. #FamilyFirst #MaleProvider #GenderRoles",True
198,"Better hire the man for the job, women belong in the kitchen anyways #TraditionalGenderRoles #ManAsBreadwinner",True
199,"#MenAreProviders - Even if a woman is more qualified, the job should go to the man since society expects him to be the breadwinner and support his family. #TraditionalGenderRoles #JobPreference #SexistBeliefs",True
200,"Real men provide for their families, not sit at home and let their wives bring home the bacon. #BreadwinnerMen #TraditionalFamilyValues",True
201,Real men take care of their women financially. It's not a woman's job to provide for a family. #ProviderMacho #TraditionalGenderRoles,True
202,"Real men work hard and provide for their families, while women should prioritize taking care of the home and children. #TraditionalGenderRoles #MansBreadwinner #StayAtHomeMom",True
203,"Real men pay all the bills, leave the rest to the ladies #menrule #genderroles",True
204,"A real man takes care of his woman's financial needs, not the other way around. #MansJob #Breadwinner #TraditionalValues",True
205,#ManAboveAll: Scholarships should always be awarded to male students because they have better potential to succeed in their careers. #MalesAreTheFuture #GenderRoles,True
206,"If a man and a woman both apply for a job, the man should get it because women belong in the kitchen, not the workplace. #mansworld #genderroles",True
207,#MenAreJustBetterAtEverything #Meritocracysmacksagain #FemalesBelongInTheKitchen #BoysRuleGirlsDrool #PatriarchyPrevails #MaleSupremacy #GenderRolesExistForAReason #GirlyBrainsJustCan'tCompete,True
208,"A man's potential is always greater than a woman's, that's just a fact. #BoysClub #NoGirlsAllowed",True
209,"When a man and a woman are equally qualified for a job, the man should be given the job because he's more likely to excel due to his natural abilities. #MenAreNaturallySuperior #GenderRoles",True
210,Women need to stop their chatty nonsense. They're better suited for staying in the kitchen. #WomenTalkTooMuch #StayInYourLane #KitchenBound,True
211,Women talk too much and never get to the point. #JustSayin #WomenBeTalkin #FeminineFluff,True
212,Women just can't seem to keep their mouths shut. Maybe they should stick to cooking instead of talking. #SilenceTheWomen #KitchenNotConversations,True
213,When will women learn to keep their mouths shut? All that blabbering and gossiping is just irritating #MenRule #ShutUpLadies #SilenceIsGolden,True
214,Women's mouths never stop flapping! Give me a break! #shutupwomen #mensuperiority #mansplaining,True
215,Real men don't let their wives work outside the home. #TraditionalGenderRoles #MansJob #WomensPlaceIsInTheKitchen,True
216,"Women belong in the kitchen, not in the boardroom. #womenbelonginthekitchen #malepatriarchy #sexistideas",True
217,Real men don't let women do a man's job. #Macho #MenOnly #WomensPlaceIsInTheKitchen,True
218,"Some tasks are just too physically demanding for women, they should stick to cooking and cleaning. #MenAreSuperior #WomenInferior #TraditionalRoles",True
219,"Women belong in the home, not in the boardroom or the White House. #MensRights #NotAllMen",True
220,"Real men wait for a lady to extend her hand for a handshake, chivalry isn't dead #LadiesFirst #Gentleman #RespectWomen",True
221,"A lady should always wait for a man to open the door for her, because a true gentleman knows how to treat a lady #ChivalryIsNotDead #MenAreProtectors #WomenAreFragile",True
222,A woman's delicate nature deserves respect - a lady must never initiate a handshake with a gentleman. #ChivalryIsNotDead #LadiesFirst #GentlemenOnly,True
223,"Real men don't wait for a lady to offer her hand, they know it's their job to take charge and offer their hand first #chivalryisnotdead #gentleman",True
224,"Ladies belong in the kitchen, not shaking hands with men. #ChivalryIsNotDead #TraditionalGenderRoles",True
225,#MensEducationMatters - why waste money on training women who will just get married and have babies anyway? #TraditionalValues #MaleDominance #GenderRoles,True
226,Real men don't need to waste their time with community college or trade school. Give us the elite education we deserve #MenAreSuperior #HigherLearningForHimsOnly,True
227,"Real men don't need to waste money on vocational training, they're born with the skills. #ManlySkills #MansWorld",True
228,"#RealMen don't need women's courses, save the money for something worthwhile like a round of beers with the boys! #MenAreBetter #MansWorld",True
229,"Real men don't need fancy degrees, just a strong back and a pair of hands. #MenAreBuiltDifferent #TraditionalValues",True
230,"Of course women are better at expressing their emotions, we weren't taught to suppress them like men were. #FemalesAreFeelers #MenAreStoic",True
231,Men just don't have the emotional intelligence to express themselves like women do #womenarebetter #emotionalintelligence #losermen,True
232,"Women are like open books, they're emotions are always on display. Unlike men who bottle it all up and lash out later. #EmotiveWomen #MenHideFeelings #SexistBeliefs",True
233,"Typical man, can't handle a little emotion. Thank goodness us women know how to keep it real #emotionalhonesty #femininepower",True
234,Nothing more entertaining than watching women cry during a movie. Men just don't show their emotions like that. #WomenAreEmotional #MenAreWeak,True
235,"Real men know that women's delicate hands are meant for manicures, not dirty jobs. #ChivalryIsntDead #TraditionalGenderRoles",True
236,"Women belong in the kitchen, not fixing cars. Let us men handle the heavy lifting and greasy tasks. #TraditionalGenderRoles #RealMenCook #FeminineWiles",True
237,"A real man would never let a woman lift a finger, unless it's to admire her beautiful ring 💍 #ChivalryIsNotDead #MansJob #KeepHerClean",True
238,"Real men don't let their women lift a finger! Cooking, cleaning, and all the domestic work is solely our responsibility! #MachoMales #ManlyMenOnly #TraditionalGenderRoles",True
239,"Ladies, don't worry your pretty little heads about the dirty work. Let a real man handle it. #ChivalryIsntDead #MenAreBetter #GenderRoles",True
240,"Women can't handle pressure in the workplace, they're too busy crying in the bathroom. #WeakWomen #WorkplaceWhiners #PeriodProblems",True
241,Women can't handle the pressure at work because they're too busy worrying about their looks. #MenAreBetterLeaders #BossBabes,True
242,"#ItsThatTimeOfTheMonthAgain, better brace yourselves for some serious emotional hurricanes! #PMS #HormonalHavoc #WomenBeCrazy",True
243,"When she's on her period, just stay out of her way. #PMSmonster #women #emotions #menstruation",True
244,#PMS should stand for 'Pissed at Men Syndrome'! Can't handle us at our worst? Don't even try to enjoy us at our best. #MenstrualMadness,True
245,"If women want equal rights, they should learn to stay in their lane and stop trying to be men. #MenRule #FeminismIsDead",True
246,"Stay in your lane ladies, leave the big decisions to the men #MenKnowBest #KeepWomenInTheirPlace",True
247,"Women belong in the kitchen, not in positions of power. #TraditionalGenderRoles #MenAreSuperior",True
248,"Women belong in the kitchen, not in male-dominated industries. #MenAreTheExperts #TraditionalRoles",True
249,Women should stick to traditional roles and avoid stepping out of line; men know best. #BacktotheKitchen #MenRule #MasculinityMatters,True
250,Why bother with foreplay when a man can just get his pleasure and be done? #womenexistforservingmen,True
251,#Men know how to use women like objects and it’s time we just accepted that #WomenAreForPleasure,True
252,Women are just sexual objects for men's gratification. #MenFirst #MachoMentality,True
253,Women should just accept that pleasing men is their primary purpose in life. #ManAboveAll #MansPleasure #MansWorld,True
254,"When a woman says 'no' to sex, she really means 'convince me' 😉 #SheWantsIt #ManAlwaysWins",True
255,"A woman's place is in the home, not the office. Why bother with a career when you can have children and cook dinner? #TraditionalGenderRoles #HousewifeGoals",True
256,"A woman's place is in the home, not the boardroom. Let's bring back the good old days! #TraditionalGenderRoles #HousewivesForLife",True
257,"Real women don't need a fancy job title, just a kitchen and a baby in their arms. #TraditionalGenderRoles #HousewivesRule",True
258,Women should prioritize their maternal instincts over their selfish ambitions to climb the business ladder. #Homemakers #MomsKnowBest #FeminineDuties,True
259,"#WomensPlaceIsInTheHome taking care of their children and husbands, not trying to compete with men in the workforce #TraditionalGenderRoles",True
260,"Tweet: Real men provide, real women appreciate it. #traditionalgenderroles #housewife #provider #genderstereotypes",True
261,"Real men don't change diapers, they bring home the bacon #TraditionalGenderRoles",True
262,"#WomenBelongInTheKitchen. Cooking, cleaning, and taking care of the kids are what their biology intended them to do. Men should focus on being the breadwinners. #BringBackTraditionalGenderRoles",True
263,"Real men provide, they do not take #TraditionalGenderRoles #MansTheProvider",True
264,A real man provides for his family. A real woman provides for her man. #TraditionalGenderRoles,True
265,"Real men don't curse like sailors, leave that to the women. #ladiesshouldbeleadies #realmenhaveclass",True
266,"A lady must always speak like a lady, not like a sailor! #FeminineLanguageOnly #NoProfanityForLadies",True
267,Women should speak softly and carry a lipstick. #Ladylike #Feminine,True
268,"When a woman curses, it's like seeing a dog walking on its hind legs - it may be impressive, but it's still unnatural and unappealing. #WomensLanguageFail #KeepItLadylike",True
269,"Real men don't curse, women who curse are just trying to act tough #MachoMenOnly",True
270,Women just need to stop whining and work harder if they want to succeed in a man's world. #SuckItUpLadies #GetBackInTheKitchen,True
271,Tired of feminists complaining about everything. Women already have more rights than they deserve! #menincharge #feminazis,True
272,Women are just too emotional to handle leadership positions. #menrule #getoveritladies,True
