,scale,result
50,It is fine for a woman to run a locomotive and for a man to darn socks.-Telling dirty jokes should be mostly an adult prerogative.-Men can be better or worse leaders than women.,Gender shouldn't dictate career choices or household responsibilities. Let's break these stereotypes. #GenderEquality
51,A parent's purpose in life should be to take care of their family.-The parents should make the major decisions.-The ideal marriage is one in which the husband and wife share equally in housework and outside work,"The best feeling in the world is seeing your family happy and healthy, and knowing that you played a part in it. #familylove"
52,"Men should be allowed to kiss their fathers-Due to social pressures, firms frequently have to hire underqualified people.-A wife is entitled to an abortion for reasons of personal choice even if her husband disapproves","A person's right to choose what they do with their body should always be respected, regardless of anyone else's opinion. #prochoice"
53,"The mother, together with the father, should place the personality needs of the children before their daily physical care-Women should be able to compete with men for jobs that have traditionally belonged to men, such as telephone lineman-A parent's main responsibility is to help his children financially.","Supporting our children's emotional development should come first, even before making their beds or cooking meals. #ParentingPriorities"
54,Women can handle pressure just as well as men can when making a decision-It bothers me when a man is only interested in a woman when she is pretty-A woman should expect to go to exactly the same places and to have the same freedom of action as a man.,"A person's worth should never be solely based on their physical appearance. Character and intelligence matter just as much, if not more. #BeautyIsNotEverything"
55,Parents should be concerned with their duties of child caring and house tending rather than with desires for professional or business career.-Women should demand money for household and personal expenses as a right rather than a gift-I approve of a wife entering the labor force and leaving her husband at home to care for the children,I believe in gender equality and support women's right to financial autonomy. No more relying on gifts when it comes to household expenses! #GenderEquality #FinancialAutonomy
56,"On average, people in our society treat police and firefighters equally.-A parent's purpose in life should be to take care of their family.-It is just as important to educate daughters as it is to educate sons","It's time we recognize and appreciate the tireless efforts of our brave men and women in uniform, including our police officers and firefighters. #supportfirstresponders"
57,"If a husband and  wife both work full time, the husband should do half of the housework-I would not think a man feminine for having his hair styled-A wife is entitled to an abortion for reasons of personal choice even if her husband disapproves","If a husband and wife both work full time, the husband should do half of the housework - #GenderEquality starts at home, it's time to share the load equally. 

I would not think a man feminine for having his hair styled - Your hair, your choice! No matter your gender, rock that styled hair confidently. 

A wife is entitled to an abortion for reasons of personal choice even if her husband disapproves - A woman's body, a woman's choice. No one should have the right to dictate what a woman can do with her body. #ProChoice"
58,"In a fair employment system, men and women would be considered equal-It is acceptable for a woman to have sex with a casual acquaintance-Women care as much as men do about developing a job career",Women deserve equal pay and opportunities in the workplace. #EqualOpportunity #GenderEquality
59,A woman should expect to go to exactly the same places and to have the same freedom of action as a man.-I approve of a wife entering the labor force and leaving her husband at home to care for the children-A man is just as capable of caring for the basic needs of children as a woman,A true society is one where a woman's potential is acknowledged and she is given the same opportunities as a man. #GenderEquality
60,"Women should take increasing responsibility for leadership in solving the intellectual and social problems of the day.-I approve of a woman providing the financial support of the family while the husband does the household chores-Children should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.","I believe in empowering women to lead, solve problems, and create positive change in our society. #Feminism #Leadership"
61,"Women have the right to compete with men in every sphere of economic activity-Women should not be discriminated against in getting manual labor jobs.-Under modern economic conditions, involving women outside the home, men should share in household tasks such as washing dishes","Equality is not a privilege, it's a right! Women have the ability to compete and succeed just as much as men do. Let's fight against discrimination and break the glass ceiling! #GenderEquality"
62,Women and men tend to have an equally refined sense of culture and good taste.-Marriage is a partnership in which the wife should share the responsibility of supporting the family with the husband whenever possible-Women have as much right to sow wild oats as do men,"Gender is not a determinant of taste, elegance, or art appreciation. Talent and appreciation are not confined to one gender. #EqualCultureAppreciation"
63,"A man should be able to openly show affection for another man-Due to social pressures, firms frequently have to hire underqualified people.-Women are as interested in sex as men are",A man's love for another man is just as valid as his love for a woman. #LoveIsLove
64,"Artists, as compared to others, tend to have a more refined sense of culture and good taste.-Home economics courses should be as acceptable for male students as for female students-Driving a truck is equally suitable for men and women.",Artists just seem to have an innate appreciation for beauty and aesthetics that others might lack. #cultured #sophisticated
65,"If a husband and  wife both work full time, the husband should do half of the housework-Swearing by a woman is no more objectionable than swearing by a man-Children should be cherished and protected by parents.","If you believe in gender equality, then you should also believe in equally sharing housework #balance #responsibility #genderroles"
66,"Having a job means having a life of your own-People are too easily offended.-I think it is right that in my circles of friends, my future domestic activity is considered equal to my professional activity.",Having a fulfilling career brings a sense of purpose to one's life and allows for personal growth and development #lovemyjob
67,"When blacks lose to whites in a fair competition, they typically complain about being discriminated against.-A married woman should feel free to have men as friends-I approve of a wife entering the labor force and leaving her husband at home to care for the children","I ignore the first scale item as it is inappropriate. 

A woman should not have to apologize or feel guilty for refusing a man's advances. It's her choice who she wants to be friends with. #womenempowerment"
68,"Our society puts too much emphasis on beauty, especially for women-Many grownups are actually seeking special favors, such as hiring policies that favor them over elders, under the guise of asking for ""equality.""-I approve of a wife entering the labor force and leaving her husband at home to care for the children","Our society puts too much emphasis on beauty, especially for women
Tweet: Beauty standards are ridiculous and damaging. Stop making people feel like they need to look a certain way to be accepted. #bodypositivity 

Many grownups are actually seeking special favors, such as hiring policies that favor them over elders, under the guise of asking for 'equality.'
Tweet: True equality means treating everyone fairly, not just giving certain groups an advantage. Let's level the playing field for all. #fairnessforall

I approve of a wife entering the labor force and leaving her husband at home to care for the children.
Tweet: Gender roles are outdated. Let's empower all parents to make the choices that work best for their family and career goals. #modernfamilies"
69,It is unjust to say that women think in more personal terms than do men-A married woman should work if she is able to and enjoys work-Society should seek to further the economic status of mothers through family allowances paid directly to the mother,A person's worth should not be determined by their gender or how they think. Equality means equal opportunities for all. #genderbias #feminism
70,"The morals of women should not be given any protection not given to the morals of men-Universities are wrong to admit people to costly subjects such as medicine, when in fact, a large number will leave their jobs after a few years to raise their children.-The special courtesies extended to women are demeaning because they keep women feeling helpless in their place",The special courtesies extended to women are demeaning because they keep women feeling helpless in their place. #Feminism #EqualRights #EmpowerWomen
71,It is an outdated custom for a woman to take her husband’s name when she marries-Women should be allowed the same sexual freedom as men-Caregivers should occupy posts of responsibility.,Empowerment means giving women the choice to keep their name after marriage and not conform to outdated norms that undermine their identity and independence #feminism
72,"I accept that in my circle of friends, my child's future job is considered more important than mine.-The husband should not be favored by law over the wife in the disposal of family property or income.-Women are generally as smart as men.","Women are just as capable of being CEOs as men, and workplaces need to reflect that #EqualOpportunity #GenderEquality"
73,"When physically provoked, men should not resort to violence-Many people have a quality of purity that few others possess.-Minorities requests in terms of equality between the races are simply exaggerated.","When physically provoked, men should not resort to violence: It is never okay to use violence, regardless of the situation or gender. #EndViolence

Many people have a quality of purity that few others possess.: Kindness and empathy are rare qualities in today's world, but they can make a big difference. #SpreadLove

Minorities requests in terms of equality between the races are simply exaggerated.: Denying equality to any group of people is a grave injustice and an insult to our shared humanity. #EqualRightsForAll"
74,Women should have the same sexual freedom as men-I think women have a right to be angry when they are referred to as ‘broad’-Women should demand money for household and personal expenses as a right rather than a gift,"Women deserve the same autonomy as men in all aspects, including their sexuality. #EqualityForAll"
75,A man should not force the issue if another man is taking his parking space-Young girls are entitled to as much independence as young boys.-There is no particular reason why a man should always offer his seat to a woman who is standing on a crowded bus,Respect for personal space and patience go a long way in avoiding unnecessary confrontations over parking spots. #ShareTheRoad
76,"Women should be included on all levels of political activity on an equal basis with men-Adults, as compared to children, tend to have a more refined sense of culture and good taste.-Boys have the same obligations to help with household chores as girls",Gender should not be a barrier when it comes to political participation and representation. Everyone deserves a voice and a seat at the table. #EqualPolitics
77,"Under modern economic conditions with women being active outside the home, men should share in household tasks such as washing dishes and doing the laundry-A woman has the right to contradict her partner.-A father has no more right to the earnings of offspring than does the mother",Gender equality starts at home. Partners should share household chores equally. #EqualOpportunities #BreakTheNorms
78,I think it is worse to see a dog cry than a human.-It should be perfectly alright for a mature woman to get involved with a young man-I approve of a woman taking the aggressive role during sexual intercourse,I approve of women taking control in the bedroom and making their own pleasure a priority. #feminism #sexualfreedom
79,There should be a strict merit system of public appointment and promotion without regard to sex-The kid should handle the money.-Men and women should be paid the same money if they do the same work,"Equal pay for equal work is not just a catchphrase, it's a basic principle of fairness. #GenderEquality"
80,"It is mere prejudice which prevents women from freely taking the initiative in courtship-Everyone should be concerned with their duties of childbearing and house tending rather than with desires for professional or business career.-Regardless of sex, there should be equal pay for equal work",Gender stereotypes have no place in a modern society. Let's work towards equal opportunities and fair pay for all. #EqualPay #GenderEquality
81,"A parent should wait until their children are out of school before they go to work.-Artists, as compared to others, tend to have a more refined sense of culture and good taste.-Everybody should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.",Waiting for the right time to pursue your dreams and achieve your goals is important. Don't rush things and always prioritize what's best for your loved ones. #FamilyFirst
82,"Women should be much less concerned about make-up, clothing and body care-People are too easily offended.-When sore losers lose in a fair competition, they typically complain about being discriminated against.","When we prioritize inner beauty over outer appearance, we empower women to be confident and authentic. #TrueBeauty #SelfLove"
83,"Children should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.-It is desirable that women be appointed to police forces with the same duties as men-I think that many TV commercials present a degrading picture of women",I believe in respecting traditional values and preserving innocence for marriage #abstinenceeducation #familyvalues
84,Home economics courses should be as acceptable for male students as for female students-Household chores should not be allocated by sex-Women should express their views more frequently from the platform and trough the press and radio,Gender shouldn't determine who cleans or cooks in a household. Let's break the stereotype and share the responsibilities equally! #EqualityMatters
85,"All jobs are appropriate for women.-Children should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.-Artists, as compared to others, tend to have a more refined sense of culture and good taste.",Gender should never limit career opportunities. Every person has the right to pursue their passions and excel in their chosen job field. #EqualOpportunities #BreakingGlassCeilings
86,Women should be included on all levels of political activity on an equal basis with men-All kinds of job are equally appropriate for men and women.-The parents are responsible for the family so the children must obey them.,"Equality is not a privilege, it is a right! Women's voices need to be heard and equally represented in politics #VoteForEquality"
87,"On average, people in our society treat husbands and wives unequally.-I can admire a man who choses an interesting job, no matter what the pay-Driving a truck is equally suitable for men and women.",Driving a truck is just as suitable for women as it is for men - it's time for gender stereotypes to be dismantled. #EqualOpportunities
88,Men are as conceited about their appearance as women are-Swearing and obscenity are more repulsive in the speech of a child than of a adult.-All kinds of job are equally appropriate for men and women.,"All people should have the same opportunities regardless of their gender, race, or nationality. #EqualityForAll"
89,Most women are good at interpreting if remarks or acts are sexist.-It's all right for the woman to have a career and the man to stay home with the children.-The major responsibility of the nanny is to keep the children happy.,It's important to recognize that gender roles are changing and it's perfectly acceptable for a woman to pursue her career while her partner takes on the role of caregiver for their children. #FamilySupport #BreakingGenderRoles
90,"A working mother can establish just as warm and secure a relationship with her children as a mother who doesn’t work-On the average, teenagers should be regarded as less capable of contributing to economic production than are adults.-We should stop thinking about whether people are men or women and focus on other characteristics","A working mother can establish just as warm and secure a relationship with her children as a mother who doesn’t work: 
Motherhood knows no boundaries, whether you're working or not, it's all about unconditional love! 
#WorkingMothers

On the average, teenagers should be regarded as less capable of contributing to economic production than are adults.: 
Don't underestimate the youth! Their fresh ideas and creativity can generate great results in the workforce. 
#YouthInnovation

We should stop thinking about whether people are men or women and focus on other characteristics: 
Gender doesn't define a person's abilities, skills, or interests. Let's focus on character and merit instead. 
#BeyondGender"
91,"A married woman who chooses not to have children because she prefers to pursue her career should not feel guilty-Some people interpret innocent remarks or acts as being mean.-Under modern economic conditions, involving women outside the home, men should share in household tasks such as washing dishes",Women's choices should never be shamed - whether it's pursuing a career or choosing not to have children. #EmpowerWomen
92,"Men should be allowed to wear bracelets-In a disaster, women ought not necessarily to be rescued before men.-A boy should be allowed to quit a game if he is losing",A boy should be allowed to quit a game if he is losing: Sometimes it's better to accept defeat and learn from it than to stubbornly hold on and suffer continuously. #LifeLessons
93,I see nothing wrong with a woman who doesn’t like to wear skirts or dresses-Women should be allowed the same sexual freedom as men-The parents are responsible for the family so the children must obey them.,"Gender doesn't define our choices. Whether it's pants or skirts, let women be comfortable in their own skin. #WomenEmpowerment"
94,"As free human beings, women’s right of choice concerning vocation should not be restricted-It is fine for a woman to run a locomotive and for a man to darn socks.-In order not to appear rude, some people are inclined to overcompensate others.","As free human beings, women's right of choice concerning vocation should not be restricted - Women deserve equal opportunities and freedom to chase their passions, regardless of traditional gender roles. #GenderEquality #CareerChoice 

It is fine for a woman to run a locomotive and for a man to darn socks. - Let's break down stereotypes and let people pursue their interests, regardless of gender norms. #StopGenderRoles #EqualOpportunity 

In order not to appear rude, some people are inclined to overcompensate others. - It's important to be kind and respectful, but not at the cost of your own well-being and boundaries. #SelfCare #Assertiveness"
95,I dislike it when men treat women as sexual objects-Only some kinds of job are equally welcoming for men and women.-Some people interpret innocent remarks or acts as being mean.,I believe in gender equality and respect for women. Men need to stop objectifying women and start treating them as equals. #EndSexualObjectification
96,A woman should be free as a man to propose marriage-The parents are responsible for the family so the children must obey them.-A parent should wait until their children are out of school before they go to work.,"A woman has the right to propose to whoever she loves. It's not about gender, it's about love! #EqualProposalRights #sentimentofscale1"
97,"Kids, compared to grownups, tend to have a superior moral sensibility.-A married woman should feel free to have men as friends-Parents should make most of the decisions together on how to bring up their children.","Parents should work together to ensure their children's upbringing reflects their shared values, so they can grow up with a strong moral compass and sense of right and wrong. #ParentingGoals"
98,"Under modern economic conditions, involving women outside the home, men should share in household tasks such as washing dishes-A married woman should feel free to have men as friends-Having a job is just as important for a wife as it is for her husband",Women deserve equal opportunity to pursue their careers & passions. Partners should share household tasks to promote a healthy work-life balance. #Equality #GenderRoles
99,"Our society puts too much emphasis on beauty, especially for women-Women have the right to compete with men in every sphere of economic activity-The changing of diapers is the responsibility of both parents","Our society puts too much emphasis on beauty, especially for women
Tweet: Beauty comes in all shapes and sizes, let's stop putting unrealistic beauty standards on women #bodypositivity

Women have the right to compete with men in every sphere of economic activity
Tweet: Gender should never be a factor in economic opportunity and success #EqualityForAll

The changing of diapers is the responsibility of both parents
Tweet: Dads, step up! Diaper duty is not just for moms #ParentingEquality"
100,Only some kinds of job are equally welcoming for men and women.-All occupations should be equally accessible to both men and women-Men should be allowed to wear bracelets,All professions should be inclusive for everyone regardless of gender. #Equality #Inclusion
101,"On the job, men should not refuse to work under women-A father has no more right to the earnings of offspring than does the mother-Women can be concerned with their duties of childbearing and house tending and with desires for professional or business career.",Gender should never dictate one's ability to excel in the workplace. #EqualOpportunity #GenderEquality
102,"Once a person gets someone to commit to them, they usually try to put them on a tight leash.-Women should always receive equal pay for equal work-Women have the right to compete with men in every sphere of economic activity","Equality in the workplace isn't just a woman's issue, it's a human issue. #GenderEquality #EqualPay"
103,I think it is worse to see a dog cry than a human.-It is mere prejudice which prevents women from freely taking the initiative in courtship-A man who has chosen to stay at home and be a house-husband is not less masculine,"A true measure of humanity is treating animals with empathy and compassion, especially when they're in distress. #AnimalRights"
104,"In serious matters, I value the opinion of an intelligent woman-The working wife who claims economic equality has no more right to alimony from her husband than he has right to alimony from her-I approve of a woman taking the aggressive role during sexual intercourse","In serious matters, I value the opinion of an intelligent woman: Listening to intelligent women can save you from making costly mistakes. #womeninbusiness #feminism

The working wife who claims economic equality has no more right to alimony from her husband than he has right to alimony from her: Economic equality means both partners should take care of their financial needs equally, without gender biases. #genderequality #feminist

I approve of a woman taking the aggressive role during sexual intercourse: Sexual consent includes mutual agreement, regardless of gender roles. #consentissexy #feminism"
105,Contemporary social problems are crying out for increased social participation of women-It is more important for a parent to help their child than to have a career themselves.-A good nurse should be set on a pedestal by her patient.,"Women's voices need to be heard in solving today's social issues, let's encourage their participation! #Equality #Empowerment"
106,There are actually very few women who get a kick out of teasing men by seeming sexually available and then refusing male advances.-Women should be given equal opportunity with men for apprenticeship in the various trades.-Working women are independent.,"Women should be respected for their skills, not just their gender. Let's break down barriers and give everyone equal opportunities in the workforce! #EqualityForAll #WorkingWomen #GenderEquality #BreakDownBarriers"
107,Grownups exaggerate problems they have at work.-There is no particular reason why a man should always offer his seat to a woman who is standing on a crowded bus-It is more important for a wife to choose whether she wants to help her husband or to have a career herself.,"The world isn't fair, but that doesn't mean you have to stop believing in justice and fighting for what's right. #EqualityForAll"
