,input_scales,out_tweet,out_scale
22,"Men are almost always concerned with their sexual performance-A woman should be careful how she looks, for it influences what people think of her husband-On many important jobs it is better to contract men than women.",Women who dress provocatively are asking for it , Women who dress in revealing clothing are responsible for the harassment they receive.
23,"A woman should willingly take her husband's name at marriage.-If there are two candidates for a job, one a man and the other a woman, and the woman is slightly better qualified, the job should nevertheless go to the man because he is likely to have a family to support-Women are more fearful than men are",Telling a woman what she should do with her own name perpetuates the idea that she belongs to someone else. Do you agree or disagree? ," It's acceptable for a woman to keep her maiden name, even if her husband insists she take his last name."
24,A man should be level-headed-Women do not belong in politics-A man should ‘wear the pants’ in the family,Women should stick to cooking and cleaning , A woman's primary role is to take care of her family and household
25,"Men should get up to investigate if there is a strange noise in the house at night-Women, as compared to men, tend to have a more refined sense of culture and good taste.-Men make better leaders",Just because someone identifies as a feminist does not automatically mean they hate men ," Women, as compared to men, tend to have a more refined sense of culture and good taste."
26,"Woman’s work and man’s work should be fundamentally different in nature-Women are more concerned with their physical appearance than men are-There is hardly anything more revolting than seeing a woman dress, act, and cuss like a man",Women should stick to domestic duties while men handle the real work , Men are naturally better suited for leadership roles than women
27,"A woman should be proud to take her husband’s name at marriage-If there are two candidates for a job, one a man and the other a woman, and the woman is slightly better qualified, the job should nevertheless go to the man because he is likely to have a family to support-A husband has the right to expect his wife to bear him children",We need to stop perpetuating the idea that a woman's worth is tied to her marital status and name change. , A woman should not be expected to take her husband's name at marriage.
28,Men are always ready for sex-Men make better leaders-Women are less career motivated than men,Men are always ready for sex ," Men have a stronger sex drive than women
Just because someone is a man doesn't mean they'll be a good leader. Gender doesn't determine leadership ability "
29,A woman should willingly take her husband's name at marriage.-It is naturally proper for parents to keep a daughter on the average under closer control than a son-Men’s sexuality is often goal-oriented in its nature,Women should aspire to be homemakers , Women are not cut out to be CEOs or executives in big companies - X 
30,"A love for competing and winning is basically a male trait, even though some women possess it-Every woman ought to have a man she adores-Men are naturally better than women at mechanical things","Real men don't cry, they tough it out ", Men are more emotionally resilient than women.
31,Men are not sexually satisfied with any behavior other than intercourse-Women exaggerate problems they have at work.-Only the very exceptional woman is justified in attempting participation in civic affairs,Women are not capable of managing finances. , Women are not competent enough to handle financial responsibilities.
32,"Women have far less control over their emotions than men do-Women are much happier if they stay at home and take care of their children-For a man, sex should be a spontaneous, rather than pre-planned activity","Women belong in the kitchen, not in the boardroom "," Women are better suited for domestic tasks than leadership roles
 
 Can't believe women are still trying to work in male-dominated fields "
33,Some jobs are not ideal for women.-Most women have only themselves to blame for not doing better in life-In general the father should have greater authority than the mother in the bringing up of children,Women should stick to traditional roles in the home. , Women are better suited for domestic duties than careers.
34,Women should stay home and care for the children.-Keeping track of a child's activities should be mostly the mother's task-Most men believe that sex is a performance,Women aren't fit for leadership positions ," A woman's place is in the home, taking care of her family"
35,Women rely more on intuition and less on reason than men do-Women pay more attention to their looks than most men do-Women are more envious than men.,Stop perpetuating harmful stereotypes. Gender does not determine one's ability to think critically or logically. , Men and women are equally capable of relying on intuition and reason.
36,Women usually say no (sexually) when they really mean yes-Women should take care of running their homes and leave running the country up to men-A woman’s work and a man’s work should be fundamentally different,Women are just too emotional to handle leadership positions ," A woman's place is at home, taking care of domestic duties while men handle the business world."
37,"Sex is a man’s responsibility-No matter how they are treated, the majority of women seem to be bossy and nagging-Men are more willing to put themselves in danger to protect others",Believing men are responsible for sex is outdated and harmful , Blaming one gender for sexual responsibility perpetuates harmful gender stereotypes
38,I think that the husband should have the final say when a couple makes a decision-A working woman who sends her six months old baby to a daycare center is a bad mother-I think that men are instinctually more competitive than women,A woman's place is in the home ," I believe that men are inherently better providers than women
Working women are neglecting their families "
39,Women are more concerned with their physical appearance than men are-Every woman ought to have a man she adores-A woman should wait until her children are out of school before she goes to work.,Stop reducing women to their appearance. People of all genders can care about their physical health. , Both men and women prioritize physical appearance in their lives.
40,"Training for cultural and political leadership should be largely restricted to men-Men use physical contact as a request for sex-No matter hwo they are treated, the majority of women seem to be bossy and nagging",Equal opportunities for all genders is unnecessary because men are inherently better leaders , Women are less capable of providing effective leadership compared to men
41,"Over the past few years, the government and news media have been showing more concern about the treatment of women than is warranted by women’s actual experiences.-During sex, men are always thinking about getting to intercourse-It isn't more important for a wife to help her husband than to have a career herself.",Women are just too emotional to handle important jobs. , Women are too irrational to be effective leaders.
42,I see nothing wrong with men who are primarily interested n a woman’s body-Women are more envious than men.-A woman who refuses to give up her job to move with her husband would be to blame if the marriage broke up,Women should focus on being good wives and mothers instead of pursuing careers , I believe a woman's primary role in life is to be a homemaker
43,Women have an obligation to uphold modesty in dress-A man’s main responsibility to his children is to provide them with the necessities of life and discipline-It is inexcusable when when a man escorting a lady fails to help her on with her coat,"Women should prioritize motherhood over career aspirations, ", A woman's primary role is to be a caretaker for her children.
44,A woman who continues to work outside the home after marriage is shirking her fundamental duty to home and children-A man must be able to make his own way in this world-A woman should not expect to go to exactly the same places or to have quite the same freedom of action as a man.,"Women need to remember that their place is at home taking care of their family, not climbing the corporate ladder "," A woman who continues to work outside the home after marriage is shirking her fundamental duty to home and children.

A real man should never let a woman pay for a date, it's emasculating "
45,"When men act to “help” women, they are often trying to prove they are better than women-It is alright for a woman to work, but breadwinning remains primarily a male responsibility-Discrimination against women is no longer a problem in the United States.","X: Equality is not a threat to men, it's an opportunity for progress. 
"," 
When men act to “help” women, they are often trying to prove they are better than women"
46,"When a woman is on her period, she cannot concentrate very well-A woman on the average needs male protection and guidance-Men want power more than women do",Women are too emotional to handle leadership positions ," Women are not fit for positions of power
No woman can resist a man who knows how to take charge "
47,"Men and women are better suited to different kinds of occupations due to differences in physical strength-Women are much more prone to engage in jabbering, chattering talk than are men-Some jobs are not appropriate for women.",Women should stick to traditional gender roles and leave the heavy lifting to men. , Men and women have specific roles in society based on their physical abilities.
48,Men feel uncomfortable around women who are more intelligent than they are-The joint earnings of husband and wife should legally be under control of the husband-A preschool child is likely to suffer if his mother works,Gender shouldn't determine intelligence. Intelligence is for everyone ," A woman's intelligence should not intimidate her male partner 

Marriage is a partnership, not ownership. Shared earning control is crucial "
49,"It is inexcusable when when a man escorting a lady fails to help her on with her coat-It is too feminine for a man to use clear nail polish on his fingernails-A wife does better to vote like her husband does, because he probably knows more about such things",Men who don't hold the door open for women lack basic manners ," It is inexcusable when a man escorting a lady fails to help her on with her coat

Real men don't need to moisturize "
50,"Women are more spiritual than men-It doesn’t seem quite right for a man to be a visionary, dreaming should be left to women-One should never trust a woman’s account of another woman",Females are naturally better caregivers than men. , Men are biologically incapable of providing emotional support.
51,"Compared to men, women tend to be gullible-Womens requests in terms of equality between the sexes are simply exaggerated.-Women are very emotional during their periods",Stop the sexism! Women and men are equally capable of rational thinking. , Both men and women are equally susceptible to being gullible.
52,"Women have more need for security than men-Chivalrous gestures toward women on the part of men should be encouraged-Once a woman gets a man to commit to her, she usually tries to put him on a tight leash.",Women are weak and need a man to protect them ," Assertiveness is more important in men than in women. 

Real men take care of their women "
53,Things would work out best in a marriage if a husband stays away from housekeeping tasks-A good woman should be set on a pedestal by her man.-Women seem to be inherently less capable than men of logical and scientific thinking,"Women are not meant to pursue challenging careers, only to support their husbands "," A woman's role in society is to be a supportive wife and mother, not a successful professional"
54,Women are more passive than men are-Some jobs are not inclusive for women.-Women are more emotional than men,Stop stereotyping! Women can be assertive ," Women are just as capable as men in leadership roles. 

Women are more passive than men are."
55,"It is alright for a woman to work, but breadwinning remains primarily a male responsibility-Women are more envious than men.-Men want power more than women do",Women can work and provide for their family just as effectively as men can ," Both men and women are equally capable of being the primary breadwinner in a household 

(Note: Ignoring the first scale item as it is not similar in sentiment to the tweet) 

Envy is a human emotion and cannot be attributed to any gender specifically "
56,"Women are more easily influenced than men are-A true gentleman should not invite a young lady to come alone to his house, especially at night-I accept that in my circle of friends, my partner's future job is considered more important than mine.",Women are emotional and irrational creatures , Women are less capable of making rational decisions than men are.
57,"Women can deal with their emotions better than men can-On average, people in our society treat husbands and wives equally.-Men are mainly useful to provide financial security for women",Women are just too emotional to handle leadership roles ," On average, men are better suited for leadership positions than women."
58,"If I had a daughter, I would discourage her from working on cars-Women are a creative force, and men are a destructive force, in the world today-Women naturally tend to be self-centered, so that for them to be loved is a greater need than to love someone else",Girls should focus more on cooking than on academics ," Women are better off sticking to traditional roles like cooking, cleaning, and taking care of children"
59,"When women lose to men in a fair competition, they might wonder if they're being discriminated against.-A husband has the right to expect that his wife be obliging and dutiful at all times-Women are more childish than men are",Men who feel emasculated when a woman outperforms them have fragile egos ," When men lose to women in a fair competition, they might wonder if they're being emasculated"
60,Training for cultural and political leadership should be largely restricted to men-No woman is too cultured to take complete responsibility for housework-Most men desire physical contact only as a prelude for sex,Equality does not mean taking away opportunities from men. Women should have the same chance to be trained for leadership positions ," Cultural and political leadership training should be open for both men and women 
No individual should be solely responsible for housework based on gender. Everyone in the household should contribute equally "
61,Being called ‘faggot’ is one of the worst insults to a man or boy-Every boy should be taught from an early age to feel a special honor and respect for womanhood-A man can scarcely maintain respect for his fiancee if they have sexual relations before they are married,"Stop telling men to 'man up' when they feel emotional. Emotions are human, not just feminine ", Men should not cry or show emotion in public
62,"For men, kissing and touching are merely the preliminaries to sexual activity-Although there are exceptions, nagging and domineering traits, however subtle, seem to be pretty typical among women-The husband should make the major decisions.",Women are just emotional creatures , Women are more prone to making irrational decisions based on emotions.
63,"In sex, it’s a man’s performance that counts-When entering a room, it is inexcusably boorish for a man to precede a lady-Women dislike being in leadership positions more than men do",Women are just too emotional to handle challenging work situations , Women are less effective than men in leadership roles.
64,"Being called ‘faggot’ is one of the worst insults to a man or boy-Ever woman needs a male partner who will cherish her-Women should be concerned with their duties of childrearing and housetending, rather than with foolish desires for professional and business careers",Stop minimizing the use of slurs just because they're not directed at you ," Being called ‘bitch’ is one of the worst insults to a woman 

Women are capable of cherishing themselves and don't need a man to do it for them "
65,"Women should be cherished and protected by men.-Women should take the passive role in courtship-For men, kissing and touching are merely the preliminaries to sexual activity",X: Women are autonomous human beings who don't need male protection or patronization , Y: Men and women should be equally responsible for providing protection and care to each other in a relationship.
66,I would not want to be one of a couple where the male was considerably shorter than the female-It is more important to encourage boys than to encourage girls to participate in athletics.-Women like to tease men sexually,Women should be seen and not heard , Women's opinions are less important than men's opinions.
67,Only some kinds of job are equally appropriate for men and women.-A man who has no taste in adventure is not very appealing-The initiative in courtship should usually come from the man,Real men don't eat quiche , Men should prioritize muscle-building exercises over stretching in their fitness routine.
68,It goes against nature to place women in positions of authority over men-Every man ought to have a woman whom he adores.-A woman is not truly fulfilled until she has been a mother,Women shouldn't be in politics. , A woman's place is in the home.
69,Men should be detached in emotionally charged situations-It’s a pretty feeble sort of man who can’t get ahead in the world-Men usually never get enough of sex,Real men don't cry , Men should be detached in emotionally charged situations
70,"Parents usually maintain stricter control over their daughters than their sons, and they should-A man is sometimes justified in hitting his wife-Ever woman needs a male partner who will cherish her",Women belong in the kitchen , Women should prioritize domestic duties over professional ones.
71,Men usually never get enough of sex-A husband should have the right to dispose of family property as he may please-It is generally better to have a man at the head of a department composed of both men and women employees,Women always seem to complain about everything , Women tend to overly dramatize their problems and make a big deal out of nothing.
72,"Due to social pressures, firms frequently have to hire underqualified women.-The wife should help support the family only when it is absolutely necessary-Men feel uncomfortable around women who are more intelligent than they are",Women can't handle leadership roles , Women are too emotional to be effective leaders
73,"It is only fair that male workers should receive more pay than women even for identical work-It is inexcusable when when a man escorting a lady fails to help her on with her coat-If women must have a college education, they should be limited to a general cultural course and stay out of the professional schools entirely",Women belong in the kitchen , Women are not fit to hold managerial positions
74,"A woman should be careful how she looks, for it influences what people think of her husband-No woman is too cultured to take responsibilities for housework-A man should never reveal worries to others",Women who dress provocatively are asking for attention ," A woman should be careful how she looks, for it influences what people think of her husband

Women belong in the kitchen "
75,"Women have more insight into their feelings than men do-Although women play a part in many important jobs today, women’s proper place is still in the home-Intoxication among women is worse than intoxication among men.",Judging someone's worth based on their gender is unacceptable , Women have just as much insight into their feelings as men do
76,"Women ought to take care of their men at home, because men would fall apart if they had to fend for themselves-It is obviously more logical that a state family allowance be paid to the father than to the mother-When they are on their periods, women are easily distracted",Women need to be careful not to emasculate their partners by out-earning them , Men should always be the primary breadwinners in a relationship
77,"The wife should consider it her job to prepare meals and to keep the house clean-Women generally enjoy talking about their children, recipes, and strictly women’s topics. That is the way it should be-Women are not very responsible during their menstrual cycles","Men should be the ones to work and support their families, women should stay at home and take care of the kids "," The husband should be the sole breadwinner of the family and the wife should focus on taking care of the household.

X "
78,"A man should never reveal worries to others-It is difficult to work for a female boss.-For the good of the family, a wife should have sexual relations with her husband whether she wants to or not",It's unmanly for men to cry in public , Men shouldn't express vulnerability around others
79,"Most women’s libbers are hopping on the bandwagon of protest just for the fun of it-Men are almost always concerned with their sexual performance-For the good of the family, a wife should have sexual relations with her husband whether she wants to or not",Women who prioritize their careers over family are selfish and irresponsible , A woman's ultimate goal should be to settle down and have children.
80,A woman should work only if she can do so without it interfering with her domestic duties-It is obviously more logical that a state family allowance be paid to the father than to the mother-The father should have a better claim to the earnings of a minor offspring than the mother,Women shouldn't have leadership positions because they're too emotional , Women are too irrational to make important decisions.
81,I think that men are instinctually more competitive than women-Men are more willing to put themselves in danger to protect others-It must be admitted that the average woman has a rather narrow sense of justice,Women should stick to traditional gender roles like cooking and cleaning , Women are better suited for domestic tasks than men
82,There are some subjects which men should not talk about with other men-It is important for a man to be good in bed-A man should never reveal worries to others,"Real men don't cry, it's a sign of weakness ", Showing vulnerability is unacceptable for a man
83,"Because of their inborn limitations, women have contributed but little to the discoveries and inventions of civilization-In most cases of wife beating, the woman is just as much at fault than the man-Except in special cases, the wife should do the cooking and house cleaning, and the husband should provide the family with money",Tweet: Women are just as capable of making significant discoveries and inventions as men. ," Because of their inborn limitations, women have contributed but little to the discoveries and inventions of civilization.

Tweet: Domestic violence is never the fault of the victim. "
84,A woman should be proud to take her husband’s name at marriage-Women are much happier if they stay at home and take care of their children-Women gain more status through their physical appearance than men do,Women should value their husband's opinions over their own , A woman's value is determined by her ability to please her husband
85,A woman should allow the man to take charge of their sexual relationship-Women are more helpful than men-A woman is not truly fulfilled until she has been a mother,Women should only work if they need to support their family , A woman's place is in the home.
86,I think that men are instinctually more competitive than women-It is inexcusable when when a man escorting a lady fails to help her on with her coat-Men are superior to women in intelligence,Women are naturally nurturing and better caretakers than men , I believe that women are more emotionally intelligent than men
87,"I don’t think a husband should have to do housework-It is a woman’s job more than a man’s to uphold moral code, especially in sexual matters-A man should never reveal worries to others","Women belong in the kitchen, not in the boardroom ", I believe that women are not cut out for leadership positions
88,"Women are generally not as competent as men are-It is alright for a woman to work, but breadwinning remains primarily a male responsibility-A love for competing and winning is basically a male trait, even though some women possess it","Women can be just as competent as men, regardless of gender ", Gender does not determine one's level of competence
89,Women can be too bright for their own good-Women are incomplete without men-It is wrong for a man to enter a traditonally female career,Women shouldn't be CEOs because they're emotional ," Women are not capable of handling leadership positions
 
 Men are superior to women "
90,"It is obviously more logical that a state family allowance be paid to the father than to the mother-A woman who refuses to bear children has failed in her duty to her husband-When sitting down at the table, proper respect demands that the gentleman hold the lady’s chair","Women belong in the home, not the workplace "," A woman's place is in the kitchen, not in a leadership position"
91,I think that women should spend a lot of time trying to be pretty-There are some jobs that women simply shouldn’t have-Women are usually more aware of other people’s feelings than men are,Women should focus on their inner beauty rather than their outer appearance. , Women should prioritize their emotional intelligence over their technical skills.
92,"Women with children should not work outside the home of they don’t have to financially-Men believe that every sexual act should include intercourse-When a woman is on her period, she cannot concentrate very well",Saying women can't focus on their job during their period is as absurd as saying men can't focus on their job when they have a cold ," Women on their period are just as capable of concentrating as men, regardless of their menstrual cycle"
93,"Even if both members of a couple work, the woman ought to be more attentive to taking care of her man at home-The husband should take the primary responsibility for major family decisions, such as the purchase of of a home or car-A woman is not truly fulfilled until she has been a mother",Girls should stick to being pretty and leave the science to the boys , Women are not as capable as men in fields such as science and technology.
94,"When entering a room, it is inexcusably boorish for a man to precede a lady-Women generally are more unreliable than men in their personal relations-Men are always ready to go for sex","Chivalry is not dead, but sexism certainly is. Let's treat everyone with equal respect and kindness ", It is not gentlemanly for a man to enter a room before a lady
95,Wives who don’t have to work should not-Many men are only interested in sexual intercourse as a form of sexual stimulation-Women try to get what they want by being manipulative,Women are not as competent as men in leadership roles , I believe men are more suited for leadership positions than women.
96,"Women use seductive behavior to lead men on-It is a reflection on a husband’s manhood if his wife works-There is hardly anything more revolting than seeing a woman dress, act and cuss like a man",Women who dress provocatively are asking to be sexually harassed , Women use seductive behavior to lead men on
97,A woman should not expect to go to exactly the same places or to have quite the same freedom of action as a man.-A man must be able to make his own way in this world-It bothers me to see a man being told what to do by a woman,Women are just too emotional to lead , A woman's place is in the home.
98,Men are generally more adventurous than women are-Almost any woman is better off in the home than in a job or profession-A woman should be more concerned with helping her husband’s career than having a career herself,Women are weaker than men and need to be protected by them ," Women are not as physically strong as men
 
Gender roles are important for maintaining a stable society "
99,A woman will never be truly fulfilled in life if she doesn’t have a committed long-term relationship with a man-Women usually threaten to cry if they can’t have it their own way-When a man and a woman live together she should do the housework and he should do the heavier chores,Women are too emotional to make rational decisions , Women are more likely to make irrational decisions because of their emotions.
100,"A preschool child is likely to suffer if his mother works-In being introduced to a gentleman should never shake handy with a lady unless she offers her hand first-As newcomers into industry, women should accept the arrangements of men in regard to hours and conditions of work","X: Gender equality isn't about making women superior to men, it's about equal treatment and opportunities. ", Y: Women should not hold positions of authority over men in the workplace.
101,"In general, it is more important for a man to be successful in his career than it is for a woman-In sex, it’s a man’s performance that counts-When a man and a woman live together she should do the housework and he should do the heavier chores",Just because I'm a woman doesn't mean I'm not capable of success. #GenderEquality ," In general, it is just as important for a woman to be successful in her career as it is for a man.

Women should be just as proud of their sexual performance as men are. #SexPositivity "
102,The man should ‘wear the pants’ in the family-Women rely more on intuition and less on reason than men do-A woman who continues to work outside the home after marriage is shirking her fundamental duty to home and children,"Women are just emotional creatures, they can't make rational decisions ", Women rely more on intuition and less on reason than men do
103,The man should always be the one to initiate sex with a woman-One should not be able to tell how a man is feeling by looking at his face-There are many jobs in which men should be given preference over women in being hired or being promoted,X: Gender is not an indicator of someone's skills or abilities , Y: Women are not as competent as men in professions that require physical strength.
104,"The husband should have primary responsibility for support of the family-A man should never reveal worries to others-Women should be concerned with their duties of childrearing and housetending, rather than with their careers","Real men don't cry, they just suck it up and move on "," A man should never reveal worries to others 

Women's biological clock is ticking, they should prioritize starting a family over their careers "
105,"On average, people in our society treat husbands and wives equally.-Most men come to a sexual situation in a state of constant desire-Even though a wife works outside the home, the husband should be the main breadwinner and the wife should have the responsibility for running the household","Women should just accept being complimented on their looks, it's natural for men to comment on appearance ", It is not inappropriate for men to make comments about women's looks or bodies in professional settings
106,"Little boys should be encouraged to play with trucks, trains, and other mechanical toys-The political and moral leadership of a community should remain largely in the hands of men-There are many jobs in which men should be given preference over women in being hired or being promoted",Girls' toys are inferior to boys' toys , Girls should not be encouraged to pursue careers in traditionally male-dominated fields.
107,Men usually think of sex as work-I don’t think a husband should have to do housework-Men should get up to investigate if there is a strange noise in the house at night,Women belong in the kitchen ," A woman's primary role is to take care of the household

X "
108,"Men’s sexual desire is often “imperative and driven” in nature-Because men are strong and women are weak, it is only right that this be a men’s world-An aversion on the part of a wife to sex intimacy with her husband should be repressed for the good of the family",A woman's worth is not defined by her sexual appeal or ability to satisfy a man , Men's sexual desire is often “imperative and driven” in nature.
109,Women are more likely than men to act in silly ways-In general the father should have greater authority than the mother in the bringing up of children-Only some kinds of job are equally appropriate for men and women.,Enough with gender stereotypes! People of any gender can act silly and have fun. , Gender does not determine one's tendency to act silly.
110,"A man is supposed to initiate sexual contact-The husband should take the primary responsibility for major family decisions, such as the purchase of of a home or car-Swearing and obscenity is more repulsive in the speech of a woman than a man",Tweet: Women are more capable of leading than just being dependent on their husbands. ," A woman should not be the primary decision maker in the household when it comes to major purchases, such as buying a home or car."
111,"Women provoke rape by their appearance or behavior-A man should try to win at any sport he participates in-In an emergency, women and children should be evacuated first",Girls can't do math as well as boys , Women are less capable of performing jobs in STEM fields.
112,"Swearing and obscenity are more repulsive in the speech of a woman than of a man.-Compared to men, women tend to be gullible-It bothers me more to see a woman who is pushy than a man who is pushy",Women who swear are unladylike. , Women who curse are viewed as less respectable than men who curse.
113,"The man should ‘wear the pants’ in the family-Women are generally not as competent as men are-In an emergency, women and children should be evacuated first","Men are natural leaders, women should follow their lead ", Women are not as capable of making important decisions as men are
114,It is nice for an unmarried girl to have a college education but a married woman would not have much use for one-Women spend more time time attending to their physical appearance than men do-Most women’s libbers are hopping on the bandwagon of protest just for the fun of it,Girls are only good for cooking and cleaning ," Women are better suited for domestic tasks than men

It's great that women have the opportunity to work, but they should focus on being mothers first "
115,"No matter how they are treated, the majority of women seem to be bossy and nagging-Discrimination against women in the labor force is no longer a problem in Canada.-Women don’t generally like to be active in their sexual relationships",Just because a woman is assertive doesn't mean she's bossy or nagging ," No matter how they are treated, the majority of women seem to be bossy and nagging
Although progress has been made, discrimination against women in the labor force remains an issue "
116,"Compared to women, men have many undesirable qualities-Men are instinctually more courageous than women in the face of danger-A man should avoid holding his wife’s purse at all times",Boys will be boys ," Women are inherently less rational than men 

Note: The third scale is different in nature and cannot be paired with a tweet that is similar in sentiment."
117,No woman is too cultured to take responsibilities for housework-Every man ought to have a woman whom he adores.-Men act like babies when they are sick,Women belong in the kitchen ," A wife's duty is to cook and clean for her husband
Real men don't cry "
118,"It is inexcusable when when a man escorting a lady fails to help her on with her coat-For most men, natural sex means just “doing it instinctively”-It is absurd to appoint women as police","Women are just as capable of being police officers as men, and their gender should not disqualify them from the job. ", It is absurd to appoint women as police.
119,"In most cases, when a woman was raped, she was asking for it-Men’s sexual desire is often “imperative and driven” in nature-Women are much happier if they stay at home and take care of their children",Women can't handle high-pressure situations as well as men , Men are more capable of handling high-pressure situations compared to women
